,0
"Anders Mol, Christian Sorum",1.0
"Sam Cottafava, Paolo Nicolai",1.0
"Andre Loyola, George Wanderley",1.0
"Nils Ehlers, Clemens Wickler",1.0
"Andy Benesh, Miles Partain",1.0
"Alex Brouwer, Robert Meeuwsen",1.0
"David Ahman, Jonatan Hellvig",1.0
"Adrian Carambula, Alex Ranghieri",1.0
"Michal Bryl, Bartosz Losiak",0.99
"Adrian Gavira, Pablo Herrera",0.98
"Cherif Samba, Ahmed Tijan",0.95
"Thomas Hodges, Zac Schubert",0.9
"Evandro Goncalves, Arthur Mariano",0.89
"Julian Horl, Alexander Horst",0.67
"Stefan Boermans, Yorick de Groot",0.6
"Theo Brunner, Trevor Crabb",0.52
"Esteban Grimalt, Marco Grimalt",0.3
"Moritz Pristauz, Robin Seidl",0.25
"Matthew Immers, Steven Van de Velde",0.22
"Chase Budinger, Miles Evans",0.2
"Tri Bourne, Chaim Schalk",0.1
"Pedro Solberg, Guto Carvalhaes",0.09
"Arnaud Gauthier-Rat, Youssef Krou",0.04
"Hendrik Mol, Mathias Berntsen",0.04
"Paul Burnett, Chris McHugh",0.04
"Piotr Kantor, Jakub Zdybek",0.03
"Dan Dearing, Sam Schachter",0.03
"Audrius Knasas, Patrikas Stankevicius",0.03
"Izac Carracher, Mark Nicolaidis",0.02
"Kusti Nolvak, Mart Tiisaar",0.02
"Vitor Felipe, Renato Lima",0.02
"Florian Breer, Marco Krattiger",0.02
"Sergiy Popov, Eduard Reznik",0.01
"Martin Ermacora, Philipp Waller",0.01
"Taylor Crabb, Taylor Sander",0.01
"Javier Bello, Joaquin Bello",0.01
"Jorge Alayo, Noslen Diaz",0.01
"Jan Dumek, Jiri Sedlak",0.0
"Likejiang Ha, Jiaxin Wu",0.0
"Arthur da Silva, Adrielson Dos Santos",0.0
"Martins Plavins, Mihails Samoilovs",0.0
"Gianluca Dal Corso, Marco Viscovich",0.0
"Simon Kulzer, Bennet Poniewaz",0.0
"Artur Hajos, Bence Streli",0.0
"Lukas Pfretzschner, Sven Winter",0.0
"Julian Azaad, Maciel Bueno",0.0
"Momme Lorenz, Jonas Reinhardt",0.0
"Felipe Alves, Gabriel Dos Reis",0.0
"Hasan Mermer, Safa Urlu",0.0
"Javier Huerta, Alejandro Huerta",0.0
"Nico Capogrosso, Tomas Capogrosso",0.0
"Leon Luini, Christiaan Varenhorst",0.0
"Saymon Barbosa, Vinicius Rezende",0.0
"Jake MacNeil, Alex Russell",0.0
"Aleksandrs Samoilovs, Janis Smedins",0.0
"Miguel Sarabia, Juan Virgen",0.0
"Yves Haussener, Quentin Metral",0.0
"Noe Aravena, Vicente Droguett",0.0
"Leo Dillier, Adrian Heidrich",0.0
"Remi Bassereau, Julien Lyneel",0.0
"Arthur Canet, Teo Rotar",0.0
"Hugo Campos, Joao Pedrosa",0.0
"Daniele Lupo, Enrico Rossi",0.0
"Laurenz Leitner, Paul Pascarucic",0.0
