,0
"Duda Lisboa, Ana Patricia Silva",1.0
"Melissa Humana-Paredes, Brandie Wilkerson",1.0
"Xinyi Xia, Chen Xue",1.0
"Taryn Kloth, Kristen Nuss",1.0
"Raisa Schoon, Katja Stam",1.0
"Tina Graudina, Anastasija Samoilova",0.999999
"Valentina Gottardi, Marta Menegatti",0.999994
"Carolina Salgado, Barbara Seixas",0.998882
"Svenja Muller, Cinja Tillmann",0.997589
"Mariafe Artacho, Taliqua Clancy",0.996457
"Betsi Flint, Julia Scoles",0.974599
"Nina Brunner, Tanja Huberli",0.943657
"Daniela Alvarez, Tania Moreno",0.688558
"Lezana Placette, Alexia Richard",0.659548
"Esmee Bobner, Zoe Verge-Depre",0.503791
"Anouk Verge-Depre, Joana Mader",0.464713
"Sarah Pavan, Molly McBain",0.372409
"Laura Ludwig, Louisa Lippmann",0.298917
"Niina Ahtiainen, Taru Lahti",0.220038
"Monika Paulikiene, Aine Raupelyte",0.21932
"Karla Borger, Sandra Ittlinger",0.146466
"Jagoda Gruszczynska, Ola Wachowicz",0.127177
"Barbora Hermannova, Marie-Sara Stochlova",0.115414
"Dorina Klinger, Ronja Klinger",0.068718
"Jie Dong, Fan Wang",0.051624
"Worapeerachayakorn, Naraphornrapat",0.051076
"Lili Fernandez, Paula Soria",0.049041
"Miki Ishii, Sayaka Mizoe",0.020542
"Meimei Lin, Jinjin Zeng",0.011372
"Maria Carro, Angela Lobato",0.005587
"Heather Bansley, Sophie Bukovec",0.003024
"Aline Chamereau, Clemence Vieira",0.00265
"Abril Flores, Atenas Gutierrez",0.00222
"Brecht Piersma, Emi van Driel",0.001203
"Victoria Lopes, Taina Silva",0.001041
"Megan Kraft, Emily Stockman",0.000978
"Erika Bobadilla, Michelle Valiente",0.000737
"Isabel Schneider, Julia Sude",0.000694
"Hailey Harward, Kelley Kolinske",0.000576
"Toni Rodriguez, Savvy Simo",0.00035
"Xinxin Wang, Lingdi Zhu",0.000238
"Megan McNamara, Nicole McNamara",0.000198
"Akiko Hasegawa, Yurika Sakaguchi",0.00016
"Suzuka Hashimoto, Reika Murakami",0.00011
"Emma Piersma, Mexime van Driel",7.7e-05
"Agatha, Rebecca",7.3e-05
"Helena Havelkova, Marketa Slukova",3.5e-05
"Corinne Quiggle, Sarah Schermerhorn",2.2e-05
"Anniina Parkkinen, Sara Sinisalo",1.8e-05
"Inna Makhno, Iryna Makhno",1.8e-05
"Chenoa Christ, Kim Van de Velde",1.8e-05
"Katarzyna Kociolek, Marta Lodej",1e-05
"Marie-Alex Belanger, Molly McBain",9e-06
"Sakurako Fujii, Megumi Murakami",8e-06
"Tetiana Lazarenko, Diana Lunina",7e-06
"Shaunna Polley, Alice Zeimann",6e-06
"Esperanza Albarran, Veray Vidaurrazaga",5e-06
"Heleene Hollas, Lissa Soomets",5e-06
"Valerie Dvornikova, Anna Pospislova",4e-06
"Andressa Cavalcanti, Vitoria De Souza",4e-06
"Alison Mckay, Katharine Wuttinee",4e-06
"Maddie Anderson, Molly Turner",3e-06
"Francisca Rivas, Chris Vorpahl",3e-06
"Saki Maruyama, Asami Shiba",2e-06
"Ivanna Rivera, Susana Torres",1e-06
"Takemi Nishibori, Sayka Yamada",1e-06
"Talita Antunes, Thamela Coradelli",0.0
"Hegeile Almeida, Taiana Lima",0.0
