,0
"Duda Lisboa, Ana Patricia Silva",1.0
"Raisa Schoon, Katja Stam",1.0
"Melissa Humana-Paredes, Brandie Wilkerson",1.0
"Xinyi Xia, Chen Xue",1.0
"Taryn Kloth, Kristen Nuss",1.0
"Valentina Gottardi, Marta Menegatti",1.0
"Tina Graudina, Anastasija Samoilova",0.9999
"Carolina Salgado, Barbara Seixas",0.9997
"Svenja Muller, Cinja Tillmann",0.9979
"Mariafe Artacho, Taliqua Clancy",0.9962
"Betsi Flint, Julia Scoles",0.9745
"Nina Brunner, Tanja Huberli",0.9503
"Daniela Alvarez, Tania Moreno",0.693
"Lezana Placette, Alexia Richard",0.659
"Esmee Bobner, Zoe Verge-Depre",0.5015
"Anouk Verge-Depre, Joana Mader",0.4635
"Sarah Pavan, Molly McBain",0.3693
"Laura Ludwig, Louisa Lippmann",0.2913
"Niina Ahtiainen, Taru Lahti",0.2315
"Monika Paulikiene, Aine Raupelyte",0.2144
"Karla Borger, Sandra Ittlinger",0.1447
"Jagoda Gruszczynska, Ola Wachowicz",0.1322
"Barbora Hermannova, Marie-Sara Stochlova",0.1134
"Dorina Klinger, Ronja Klinger",0.0684
"Jie Dong, Fan Wang",0.0509
"Worapeerachayakorn, Naraphornrapat",0.05
"Lili Fernandez, Paula Soria",0.0473
"Miki Ishii, Sayaka Mizoe",0.0196
"Meimei Lin, Jinjin Zeng",0.0123
"Maria Carro, Angela Lobato",0.0052
"Heather Bansley, Sophie Bukovec",0.0031
"Aline Chamereau, Clemence Vieira",0.0028
"Abril Flores, Atenas Gutierrez",0.0019
"Brecht Piersma, Emi van Driel",0.0014
"Megan Kraft, Emily Stockman",0.0009
"Isabel Schneider, Julia Sude",0.0007
"Erika Bobadilla, Michelle Valiente",0.0006
"Hailey Harward, Kelley Kolinske",0.0005
"Megan McNamara, Nicole McNamara",0.0005
"Toni Rodriguez, Savvy Simo",0.0004
"Xinxin Wang, Lingdi Zhu",0.0004
"Victoria Lopes, Taina Silva",0.0003
"Suzuka Hashimoto, Reika Murakami",0.0002
"Saki Maruyama, Asami Shiba",0.0001
"Akiko Hasegawa, Yurika Sakaguchi",0.0001
"Esperanza Albarran, Veray Vidaurrazaga",0.0001
"Sakurako Fujii, Megumi Murakami",0.0
"Takemi Nishibori, Sayka Yamada",0.0
"Valerie Dvornikova, Anna Pospislova",0.0
"Heleene Hollas, Lissa Soomets",0.0
"Francisca Rivas, Chris Vorpahl",0.0
"Alison Mckay, Katharine Wuttinee",0.0
"Shaunna Polley, Alice Zeimann",0.0
"Marie-Alex Belanger, Molly McBain",0.0
"Katarzyna Kociolek, Marta Lodej",0.0
"Anniina Parkkinen, Sara Sinisalo",0.0
"Maddie Anderson, Molly Turner",0.0
"Inna Makhno, Iryna Makhno",0.0
"Tetiana Lazarenko, Diana Lunina",0.0
"Helena Havelkova, Marketa Slukova",0.0
"Hegeile Almeida, Taiana Lima",0.0
"Chenoa Christ, Kim Van de Velde",0.0
"Emma Piersma, Mexime van Driel",0.0
"Corinne Quiggle, Sarah Schermerhorn",0.0
"Agatha, Rebecca",0.0
"Andressa Cavalcanti, Vitoria De Souza",0.0
"Talita Antunes, Thamela Coradelli",0.0
"Ivanna Rivera, Susana Torres",0.0
